GENESIS-Tabelle: 43311-0001
Elektrizitätserzeugung, Nettowärmeerzeugung,;;;
Brennstoffeinsatz: Deutschland, Jahre, Energieträger;;;
Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;;;
Deutschland;;;
;;Elektrizitätserzeugung (brutto);Elektrizitätserzeugung (netto)
;;MWh;MWh
2015;Steinkohlenbriketts;-;-
2015;Kohlenwertstoffe aus Steinkohle;-;-
2015;Sonstige Steinkohlen;-;-
2015;Rohbraunkohlen;150072555;139371157
2015;Hartbraunkohlen;.;.
2015;Braunkohlenbriketts;.;.
2015;Braunkohlenkoks;.;.
2015;Wirbelschichtkohle;.;.
2015;Staub- und Trockenkohle;307569;280996
2015;Sonstige Braunkohlen;-;-
2015;Dieselkraftstoff;516;512
2015;Heizöl, leicht;600592;540851
2015;Heizöl, schwer;396993;362717
2015;Flüssiggas;.;.
2015;Raffineriegas;-;-
2015;Petrolkoks;.;.
2015;Sonstige Mineralölprodukte;.;.
2015;Erdgas, Erdölgas;31276477;30123230
2015;Grubengas;.;.
2015;Kokereigas;.;.
2015;Hochofengas;.;.
2015;Sonstige hergestellte Gase;.;.
2015;Wasserstoff;-;-
2015;Laufwasser;14674460;14439342
2015;Speicherwasser;567793;562092
2015;Pumpspeicherwasser;-;-
2015;Pumpspeicher mit natürlichem Zufluss;466343;446544
2015;Pumpspeicher ohne natürlichen Zufluss;5921283;5798667
2015;Windkraft;-;-
2015;Photovoltaik;-;-
2015;Geothermie;134121;91531
2015;Wärmepumpen (Erd- und Umweltwärme);-;-
2015;Solarthermie;-;-
2015;Feste biogene Stoffe;4867912;4376182
2015;Flüssige biogene Stoffe;.;.
2015;Biogas;1707025;1656879
2015;Biomethan (Bioerdgas);-;-
2015;Klärgas;42343;39870
2015;Deponiegas;86314;83699
2015;Sonstige erneuerbare Energien;-;-
2015;Klärschlamm;160554;145956
2015;Abfall (Hausmüll, Industrie);-;-
2015;Abfall (Industrie);1054020;822491
2015;Abfall (Hausmüll, Siedlungsabfälle);11020301;8678620
2015;Kernenergie;91786311;86765005
2015;Wärme;566358;535377
2015;Strom (Elektrokessel);-;-
2015;Sonstige Energieträger;33485;31972
2015;Andere Speicher;-;-
2015;Insgesamt;434397435;403042069
2016;Steinkohlen;108833367;99764932
2016;Steinkohlenkoks;-;-
2016;Steinkohlenbriketts;-;-
2016;Kohlenwertstoffe aus Steinkohle;-;-
2016;Sonstige Steinkohlen;-;-
2016;Rohbraunkohlen;145250858;134885572
2016;Hartbraunkohlen;.;.
2016;Braunkohlenbriketts;.;.
2016;Braunkohlenkoks;.;.
2016;Wirbelschichtkohle;.;.
2016;Staub- und Trockenkohle;209935;191571
2016;Sonstige Braunkohlen;-;-
2016;Dieselkraftstoff;383;375
2016;Heizöl, leicht;656029;602330
2016;Heizöl, schwer;376073;343823
2016;Flüssiggas;.;.
2016;Raffineriegas;-;-
2016;Petrolkoks;.;.
2016;Sonstige Mineralölprodukte;116767;108741
2016;Erdgas, Erdölgas;47900135;46503022
2016;Grubengas;.;.
2016;Kokereigas;.;.
2016;Hochofengas;.;.
2016;Sonstige hergestellte Gase;.;.
2016;Wasserstoff;-;-
2016;Laufwasser;15966237;15710923
2016;Speicherwasser;634219;628060
2016;Pumpspeicherwasser;-;-
2016;Pumpspeicher mit natürlichem Zufluss;.;.
2016;Pumpspeicher ohne natürlichen Zufluss;5588359;5450754
2016;Windkraft;-;-
2016;Photovoltaik;-;-
2016;Geothermie;162463;152649
2016;Wärmepumpen (Erd- und Umweltwärme);-;-
2016;Solarthermie;-;-
2016;Feste biogene Stoffe;5187392;4682300
2016;Flüssige biogene Stoffe;.;.
2016;Biogas;1778272;1730985
2016;Biomethan (Bioerdgas);-;-
2016;Klärgas;45429;41984
2016;Deponiegas;75615;72410
2016;Sonstige erneuerbare Energien;-;-
2016;Klärschlamm;145674;131821
2016;Abfall (Hausmüll, Industrie);-;-
2016;Abfall (Industrie);1184001;942119
2016;Abfall (Hausmüll, Siedlungsabfälle);11317639;9003435
2016;Kernenergie;84634367;80038154
2016;Wärme;546944;525934
2016;Strom (Elektrokessel);-;-
2016;Sonstige Energieträger;51255;48524
2016;Andere Speicher;-;-
2016;Insgesamt;432429503;403201939
2017;Steinkohlen;89461230;81723616
2017;Steinkohlenkoks;-;-
2017;Steinkohlenbriketts;-;-
2017;Kohlenwertstoffe aus Steinkohle;-;-
2017;Sonstige Steinkohlen;-;-
2017;Rohbraunkohlen;144182920;133983238
2017;Hartbraunkohlen;.;.
2017;Braunkohlenbriketts;.;.
2017;Braunkohlenkoks;.;.
2017;Wirbelschichtkohle;.;.
2017;Staub- und Trockenkohle;161552;147110
2017;Sonstige Braunkohlen;-;-
2017;Dieselkraftstoff;672;671
2017;Heizöl, leicht;663322;603436
2017;Heizöl, schwer;335913;307094
2017;Flüssiggas;.;.
2017;Raffineriegas;-;-
2017;Petrolkoks;.;.
2017;Sonstige Mineralölprodukte;139657;130035
2017;Erdgas, Erdölgas;50665930;48956363
2017;Grubengas;.;.
2017;Kokereigas;.;.
2017;Hochofengas;-;-
2017;Sonstige hergestellte Gase;.;.
2017;Wasserstoff;-;-
2017;Laufwasser;15688945;15566110
2017;Speicherwasser;626932;621852
2017;Pumpspeicherwasser;-;-
2017;Pumpspeicher mit natürlichem Zufluss;479151;468963
2017;Pumpspeicher ohne natürlichen Zufluss;6004580;5909658
2017;Windkraft;-;-
2017;Photovoltaik;-;-
2017;Geothermie;152826;147306
2017;Wärmepumpen (Erd- und Umweltwärme);-;-
2017;Solarthermie;-;-
2017;Feste biogene Stoffe;5211906;4703454
2017;Flüssige biogene Stoffe;.;.
2017;Biogas;1806365;1757634
2017;Biomethan (Bioerdgas);-;-
2017;Klärgas;38115;35401
2017;Deponiegas;70628;67784
2017;Sonstige erneuerbare Energien;-;-
2017;Klärschlamm;115743;104270
2017;Abfall (Hausmüll, Industrie);0;-
2017;Abfall (Industrie);1085699;864337
2017;Abfall (Hausmüll, Siedlungsabfälle);11349734;9103611
2017;Kernenergie;76324401;72154982
2017;Wärme;533026;515226
2017;Strom (Elektrokessel);-;-
2017;Sonstige Energieträger;51925;49113
2017;Andere Speicher;-;-
2017;Insgesamt;406283417;378941374
2018;Steinkohlen;79335802;72406068
2018;Steinkohlenkoks;-;-
2018;Steinkohlenbriketts;-;-
2018;Kohlenwertstoffe aus Steinkohle;-;-
2018;Sonstige Steinkohlen;-;-
2018;Rohbraunkohlen;141293804;131497568
2018;Hartbraunkohlen;.;.
2018;Braunkohlenbriketts;.;.
2018;Braunkohlenkoks;.;.
2018;Wirbelschichtkohle;.;.
2018;Staub- und Trockenkohle;147989;134813
2018;Sonstige Braunkohlen;-;-
2018;Dieselkraftstoff;526;513
2018;Heizöl, leicht;491790;455810
2018;Heizöl, schwer;242804;222275
2018;Flüssiggas;.;.
2018;Raffineriegas;-;-
2018;Petrolkoks;.;.
2018;Sonstige Mineralölprodukte;111323;103614
2018;Erdgas, Erdölgas;46282099;44533130
2018;Grubengas;281473;273568
2018;Kokereigas;.;.
2018;Hochofengas;-;-
2018;Sonstige hergestellte Gase;.;.
2018;Wasserstoff;.;.
2018;Laufwasser;13986518;13859807
2018;Speicherwasser;532335;528215
2018;Pumpspeicherwasser;-;-
2018;Pumpspeicher mit natürlichem Zufluss;1075502;1075502
2018;Pumpspeicher ohne natürlichen Zufluss;5585580;5585580
2018;Windkraft;-;-
2018;Photovoltaik;-;-
2018;Geothermie;-;-
2018;Wärmepumpen (Erd- und Umweltwärme);-;-
2018;Solarthermie;-;-
2018;Feste biogene Stoffe;5162209;4621835
2018;Flüssige biogene Stoffe;.;.
2018;Biogas;1846768;1776952
2018;Biomethan (Bioerdgas);783692;766718
2018;Klärgas;26547;24718
2018;Deponiegas;58562;53824
2018;Sonstige erneuerbare Energien;-;-
2018;Klärschlamm;299367;273647
2018;Abfall (Hausmüll, Industrie);-;-
2018;Abfall (Industrie);678735;532109
2018;Abfall (Hausmüll, Siedlungsabfälle);11753792;9368344
2018;Kernenergie;76004802;71866451
2018;Wärme;480932;461980
2018;Strom (Elektrokessel);-;-
2018;Sonstige Energieträger;.;.
2018;Andere Speicher;73796;73796
2018;Insgesamt;387499606;361342016
2019;Steinkohlen;54522044;49502524
2019;Steinkohlenkoks;-;-
2019;Steinkohlenbriketts;-;-
2019;Kohlenwertstoffe aus Steinkohle;-;-
2019;Sonstige Steinkohlen;-;-
2019;Rohbraunkohlen;109976601;101924391
2019;Hartbraunkohlen;.;.
2019;Braunkohlenbriketts;.;.
2019;Braunkohlenkoks;.;.
2019;Wirbelschichtkohle;.;.
2019;Staub- und Trockenkohle;115591;105756
2019;Sonstige Braunkohlen;-;-
2019;Dieselkraftstoff;470;453
2019;Heizöl, leicht;474702;435205
2019;Heizöl, schwer;217742;196805
2019;Flüssiggas;-;-
2019;Raffineriegas;-;-
2019;Petrolkoks;.;.
2019;Sonstige Mineralölprodukte;121834;112489
2019;Erdgas, Erdölgas;54669064;52899668
2019;Grubengas;.;.
2019;Kokereigas;.;.
2019;Hochofengas;-;-
2019;Sonstige hergestellte Gase;.;.
2019;Wasserstoff;.;.
2019;Laufwasser;15596938;15466372
2019;Speicherwasser;762301;757694
2019;Pumpspeicherwasser;-;-
2019;Pumpspeicher mit natürlichem Zufluss;493692;493692
2019;Pumpspeicher ohne natürlichen Zufluss;-;-
2019;Windkraft;-;-
2019;Photovoltaik;-;-
2019;Geothermie;-;-
2019;Wärmepumpen (Erd- und Umweltwärme);-;-
2019;Solarthermie;-;-
2019;Feste biogene Stoffe;4895422;4365482
2019;Flüssige biogene Stoffe;.;.
2019;Biogas;1974568;1909288
2019;Biomethan (Bioerdgas);804642;786938
2019;Klärgas;.;.
2019;Deponiegas;59340;54245
2019;Sonstige erneuerbare Energien;-;-
2019;Klärschlamm;217878;199045
2019;Abfall (Hausmüll, Industrie);-;-
2019;Abfall (Industrie);696520;546308
2019;Abfall (Hausmüll, Siedlungsabfälle);11094381;8807723
2019;Kernenergie;75071236;70992175
2019;Wärme;565802;541179
2019;Strom (Elektrokessel);-;-
2019;Sonstige Energieträger;.;.
2019;Andere Speicher;-;-
2019;Insgesamt;333450753;311088543
2020;Steinkohlen;39228231;35460410
2020;Steinkohlenkoks;0;0
2020;Steinkohlenbriketts;0;0
2020;Kohlenwertstoffe aus Steinkohle;0;0
2020;Sonstige Steinkohlen;0;0
2020;Rohbraunkohlen;88696215;82127603
2020;Hartbraunkohlen;.;.
2020;Braunkohlenbriketts;.;.
2020;Braunkohlenkoks;.;.
2020;Wirbelschichtkohle;.;.
2020;Staub- und Trockenkohle;118104;103160
2020;Sonstige Braunkohlen;0;0
2020;Dieselkraftstoff;245;240
2020;Heizöl, leicht;500688;454383
2020;Heizöl, schwer;167873;151801
2020;Flüssiggas;0;.
2020;Raffineriegas;0;0
2020;Petrolkoks;.;.
2020;Sonstige Mineralölprodukte;77375;71260
2020;Erdgas, Erdölgas;58826498;57096200
2020;Grubengas;.;716509
2020;Kokereigas;.;.
2020;Hochofengas;0;0
2020;Sonstige hergestellte Gase;.;.
2020;Wasserstoff;.;.
2020;Laufwasser;14230039;14100153
2020;Speicherwasser;898621;894434
2020;Pumpspeicherwasser;0;0
2020;Pumpspeicher mit natürlichem Zufluss;507078;507078
2020;Pumpspeicher ohne natürlichen Zufluss;0;0
2020;Windkraft;0;0
2020;Photovoltaik;0;0
2020;Geothermie;0;0
2020;Wärmepumpen (Erd- und Umweltwärme);0;0
2020;Solarthermie;0;0
2020;Feste biogene Stoffe;5017150;4441568
2020;Flüssige biogene Stoffe;.;.
2020;Biogas;2253939;2177331
2020;Biomethan (Bioerdgas);923386;904377
2020;Klärgas;.;11715
2020;Deponiegas;75112;70879
2020;Sonstige erneuerbare Energien;0;0
2020;Klärschlamm;201467;182745
2020;Abfall (Hausmüll, Industrie);0;0
2020;Abfall (Industrie);523452;394625
2020;Abfall (Hausmüll, Siedlungsabfälle);11104186;8806723
2020;Kernenergie;64382397;60914324
2020;Wärme;536607;514311
2020;Strom (Elektrokessel);0;0
2020;Sonstige Energieträger;.;.
2020;Andere Speicher;0;0
2020;Insgesamt;289448384;270489799
__________
"Elektrizitätserzeugung, Brennstoffeinsatz:
Einschließlich Verbrauch für Zünd- und Stützfeuerung.

MWh = Megawattstunden
GJ  = Gigajoule"
© Statistisches Bundesamt (Destatis), 2021
Stand: 27.07.2021 / 16:33:15
